1489221,Pear Sundae French Toast,"[""1/4 cup plus 3 tablespoons packed brown sugar, divided"", ""6 tablespoons butter, divided"", ""1-1/4 teaspoons ground cinnamon, divided"", ""3 medium ripe pears, peeled and sliced (about 2-1/2 cups)"", ""3 eggs, lightly beaten"", ""3/4 cup milk"", ""1 teaspoon vanilla extract"", ""1/4 teaspoon ground nutmeg"", ""6 slices French bread (1 inch thick)"", ""Ice cream""]","[""In a skillet, combine 1/4 cup brown sugar, 2 tablespoons butter and 1/4 teaspoon cinnamon; cook and stir until sugar dissolved. Add pears; cook until tender."", ""In a bowl, combine the eggs, milk, vanilla, nutmeg, and remaining brown sugar and cinnamon. Dip bread in egg mixture to coat each side. Melt remaining butter in a skillet. Fry bread over medium heat for 2 minutes on each side or until golden brown. Top with ice cream and pear mixture.""]",www.tasteofhome.com/recipes/pear-sundae-french-toast/,Gathered,"[""brown sugar"", ""butter"", ""ground cinnamon"", ""eggs"", ""milk"", ""vanilla"", ""ground nutmeg"", ""bread"", ""cream""]"
1489222,Turkey Dumpling Soup,"[""1 meaty leftover turkey carcass (from an 11-pound turkey)"", ""6 cups chicken broth"", ""6 cups water"", ""2 celery ribs, cut into 1-inch slices"", ""1 medium carrot, cut into 1-inch slices"", ""1 tablespoon poultry seasoning"", ""1 bay leaf"", ""1/2 teaspoon salt"", ""1/2 teaspoon pepper"", ""1 medium onion, chopped"", ""2 celery ribs, chopped"", ""2 medium carrots, sliced"", ""1 cup fresh or frozen cut green beans"", ""1 package (10 ounces) frozen corn"", ""1 package (10 ounces) frozen peas"", ""2 cups biscuit/baking mix"", ""2/3 cup milk""]","[""In a stock pot, combine the first nine ingredients. Bring to a boil. Reduce heat; cover and simmer for 3 hours."", ""Remove carcass and allow to cool. Remove meat and set aside 4 cups for soup (refrigerate any remaining meat for another use); discard bones. Cut meat into bite-size pieces. Strain broth, discarding vegetables and bay leaf."", ""Return broth to pan; add the onion, celery, carrots and beans. Bring to a boil. Reduce heat; cover and simmer for 10 minutes or until vegetables are tender. Add corn, peas and reserved turkey. Bring to a boil; reduce heat."", ""Combine biscuit mix and milk. Drop by teaspoonfuls into simmering broth. Cover and simmer for 10 minutes or until a toothpick inserted in a dumpling comes out clean (do not lift the cover while simmering).""]",www.tasteofhome.com/recipes/turkey-dumpling-soup/,Gathered,"[""turkey carcass"", ""chicken broth"", ""water"", ""celery"", ""carrot"", ""poultry seasoning"", ""bay leaf"", ""salt"", ""pepper"", ""onion"", ""celery"", ""carrots"", ""green beans"", ""corn"", ""frozen peas"", ""biscuit/baking"", ""milk""]"
1489223,Hoosier Pork Chop Supper,"[""1 medium onion, sliced"", ""3 tablespoons vegetable oil"", ""3 tablespoons all-purpose flour"", ""1 teaspoon salt"", ""1/2 teaspoon pepper"", ""4 boneless butterflied pork chops (1-1/2 inches thick and 6 ounces each)"", ""2 large potatoes, peeled and sliced"", ""1 large carrot, sliced"", ""1 can (14-1/2 ounces) diced tomatoes, undrained"", ""1 cup frozen peas""]","[""In a large skillet, saute onion in oil until tender. Remove with a slotted spoon and set aside; reserve drippings in pan. In a large resealable plastic bag, combine flour, salt and pepper; add the pork chops. Seal bag; turn to coat."", ""Cook pork chops in the drippings until browned on both sides. Add the potatoes, carrot, tomatoes and reserved onion; bring to a boil. Reduce heat; cover and simmer for 1-1/2 hours. Stir in the peas, cook, uncovered, for 10 minutes longer or until heated through.""]",www.tasteofhome.com/recipes/hoosier-pork-chop-supper/,Gathered,"[""onion"", ""vegetable oil"", ""all-purpose"", ""salt"", ""pepper"", ""pork chops"", ""potatoes"", ""carrot"", ""tomatoes"", ""frozen peas""]"
1489224,Eggnog Sweet Potato Casserole,"[""6 cups mashed sweet potatoes (about 3 pounds)"", ""2/3 cup eggnog"", ""1/2 cup golden raisins"", ""2 tablespoons sugar"", ""1 teaspoon salt"", ""1/4 cup all-purpose flour"", ""1/4 cup quick-cooking oats"", ""1/4 cup packed brown sugar"", ""1/4 cup chopped pecans"", ""3 tablespoons butter, melted"", ""3/4 teaspoon ground cinnamon"", ""1/4 teaspoon ground nutmeg""]","[""In a large bowl, combine the potatoes, eggnog, raisins, sugar and salt. Transfer to a greased 2-qt. baking dish. Combine topping ingredients; sprinkle over top."", ""Bake, uncovered, at 350\u00b0 for 30-35 minutes or until heated through.""]",www.tasteofhome.com/recipes/eggnog-sweet-potato-casserole/,Gathered,"[""mashed sweet potatoes"", ""eggnog"", ""golden raisins"", ""sugar"", ""salt"", ""all-purpose"", ""quick-cooking oats"", ""brown sugar"", ""pecans"", ""butter"", ""ground cinnamon"", ""ground nutmeg""]"
1489225,Amish Apple Scrapple,"[""3/4 pound bulk pork sausage"", ""1/2 cup finely chopped onion"", ""4 tablespoons butter, divided"", ""1/2 cup diced apple, unpeeled"", ""3/4 teaspoon dried thyme"", ""1/2 teaspoon ground sage"", ""1/4 teaspoon pepper"", ""3 cups water, divided"", ""3/4 cup cornmeal"", ""1 teaspoon salt"", ""2 tablespoons all-purpose flour"", ""Maple syrup""]","[""In a large skillet, cook sausage and onion over medium-high heat until sausage is no longer pink and onion is tender. Remove from skillet; set aside."", ""Discard all but 2 tablespoons drippings. Add 2 tablespoons butter, apple, thyme, sage and pepper to drippings; cook over low heat until apple is tender, about 5 minutes. Remove from heat; stir in sausage mixture. Set aside."", ""In a large heavy saucepan, bring 2 cups water to a boil. Combine cornmeal, salt and remaining water; slowly pour into boiling water, stirring constantly. Return to a boil. Reduce heat; simmer, covered, for 1 hour, stirring occasionally. Stir in sausage mixture. Pour into a greased 8x4-in. loaf pan. Refrigerate, covered, for 8 hours or overnight."", ""Slice 1/2 in. thick. Sprinkle flour over both sides of each slice. In a large skillet, heat remaining butter over medium heat. Add slices; cook until both sides are browned. Serve with syrup.""]",www.tasteofhome.com/recipes/amish-apple-scrapple/,Gathered,"[""pork sausage"", ""onion"", ""butter"", ""apple"", ""thyme"", ""ground sage"", ""pepper"", ""water"", ""cornmeal"", ""salt"", ""flour"", ""Maple syrup""]"
1489226,Sugar-Free Spiced Pecans,"[""1 large egg white"", ""1 pound pecan halves"", ""Sugar substitute equivalent to 1/2 cup sugar"", ""3 teaspoons ground cinnamon"", ""1/2 teaspoon salt""]","[""In a large bowl, beat egg white until frothy. Add pecans; stir gently to coat. Combine the sugar substitute, cinnamon and salt; add to nut mixture and stir gently to coat."", ""Spread into a 15x10x1-in. baking pan coated with cooking spray. Bake, uncovered, at 325\u00b0 for 20 minutes or until lightly browned, stirring once. Cool completely. Store in an airtight container.""]",www.tasteofhome.com/recipes/sugar-free-spiced-pecans/,Gathered,"[""egg white"", ""pecan"", ""Sugar substitute"", ""ground cinnamon"", ""salt""]"
1489227,Vanilla Bean Angel Food Cake,"[""12 large egg whites (about 1-2/3 cups)"", ""1 cup cake flour"", ""1-1/2 cups sugar, divided"", ""1 vanilla bean (see Editor's Note) or 1 teaspoon vanilla extract"", ""1/2 teaspoon cream of tartar"", ""1/4 teaspoon salt"", ""2 cups confectioners' sugar"", ""1 vanilla bean or 1 teaspoon vanilla extract"", ""3 to 4 tablespoons 2% milk""]","[""Place egg whites in a large bowl; let stand at room temperature 30 minutes."", ""Preheat oven to 325\u00b0. In a small bowl, mix flour and 3/4 cup sugar until blended."", ""Add seeds from vanilla bean (or extract if using), cream of tartar and salt to egg whites. Beat on medium speed until soft peaks form. Gradually add remaining 3/4 cup sugar, 1 tablespoon at a time, beating on high after each addition until sugar is dissolved. Continue beating until soft glossy peaks form. Gradually fold in flour mixture, about 1/2 cup at a time."", ""Gently transfer batter to an ungreased 10-in. tube pan. Cut through batter with a knife to remove air pockets. Bake on lowest oven rack 45-55 minutes or until top springs back when lightly touched. Immediately invert pan; cool completely in pan, about 1-1/2 hours."", ""Run a knife around sides and center tube of pan. Remove cake to a serving plate."", ""For glaze, in a small bowl, mix confectioners' sugar, seeds from vanilla bean (or extract if using) and enough milk to reach desired consistency. Spread glaze over cake, allowing some to drip down sides.""]",www.tasteofhome.com/recipes/vanilla-bean-angel-food-cake/,Gathered,"[""egg whites"", ""cake flour"", ""sugar"", ""vanilla bean"", ""cream of tartar"", ""salt"", ""sugar"", ""vanilla bean"", ""milk""]"
1489228,Potluck Sloppy Joes,"[""3 pounds lean ground turkey"", ""3 celery ribs, chopped"", ""2 medium onions, chopped"", ""1 large green pepper, chopped"", ""1-3/4 cups ketchup"", ""1 can (8 ounces) no-salt-added tomato sauce"", ""3 tablespoons all-purpose flour"", ""3 tablespoons sugar"", ""3 tablespoons cider vinegar"", ""1 tablespoon prepared mustard"", ""12 whole wheat hamburger buns, split and toasted""]","[""In a"", "", cook the turkey, celery, onions and pepper over medium heat until meat is no longer pink; drain."", ""Stir in the ketchup, tomato sauce, flour, sugar, vinegar and mustard. Bring to a boil. Reduce heat; cover and simmer for 10-15 minutes or until heated through. Spoon 2/3 cup turkey mixture onto each bun."", ""Or, cool turkey mixture and freeze in freezer containers for up to 3 months."", ""To use frozen turkey mixture: Thaw in the refrigerator; place in a saucepan and heat through. Spoon 2/3 cup turkey mixture onto each bun.""]",www.tasteofhome.com/recipes/potluck-sloppy-joes/,Gathered,"[""lean ground turkey"", ""celery"", ""onions"", ""green pepper"", ""ketchup"", ""salt"", ""all-purpose"", ""sugar"", ""cider vinegar"", ""mustard"", ""whole wheat hamburger buns""]"
1489229,Chocolate Fruit N Nut Cookies,"[""6 tablespoons butter, cubed"", ""1/3 cup whole milk"", ""1/4 cup sugar"", ""2 tablespoons honey"", ""1 cup sliced almonds"", ""1/2 cup mixed candied fruit, finely chopped"", ""1/4 cup all-purpose flour"", ""3/4 cup semisweet chocolate chips"", ""2 tablespoons shortening""]","[""In a saucepan, combine butter, milk, sugar and honey. Bring to a full boil. Remove from the heat; stir in almonds and fruit. Stir in flour until blended. Drop by tablespoonfuls 3 in. apart onto greased and floured"", "". Spread batter with a spoon to form 2-1/2-in. circles. Bake at 350\u00b0 until edges are lightly browned, 6-9 minutes. Cool on pans for 1 minute before carefully removing to waxed paper to cool completely. For coating, combine chocolate chips and shortening in a small saucepan. Cook over low heat until melted. Spread 1 teaspoonful over the bottom of each cookie. When chocolate is almost set, draw wavy lines with a fork or cake decorating comb. Store in the refrigerator.""]",www.tasteofhome.com/recipes/chocolate-fruit-n-nut-cookies/,Gathered,"[""butter"", ""milk"", ""sugar"", ""honey"", ""almonds"", ""mixed candied fruit"", ""all-purpose"", ""semisweet chocolate chips"", ""shortening""]"
1489230,Raspberry Ribbon Pie,"[""6 ounces cream cheese, softened"", ""1/2 cup confectioners' sugar"", ""Dash salt"", ""1 cup heavy whipping cream, whipped"", ""Pastry for deep-dish single-crust pie (9 inches), baked"", ""1 package (3 ounces) raspberry gelatin"", ""1-1/4 cups boiling water"", ""1 tablespoon lemon juice"", ""1 package (10 ounces) frozen raspberries in syrup, thawed""]","[""In a large bowl, beat the cream cheese, sugar and salt until smooth. Fold in cream. Spread half into pie shell. Chill 30 minutes."", ""Meanwhile, dissolve gelatin in water; add lemon juice and raspberries. Carefully spoon half over cream cheese layer. Chill until set, about 30 minutes."", ""Set aside the remaining gelatin mixture at room temperature. Carefully spread remaining cream cheese mixture over top of pie. Chill for 30 minutes. Top with remaining gelatin. Chill until firm.""]",www.tasteofhome.com/recipes/raspberry-ribbon-pie/,Gathered,"[""cream cheese"", ""sugar"", ""salt"", ""heavy whipping cream"", ""Pastry"", ""raspberry gelatin"", ""boiling water"", ""lemon juice"", ""frozen raspberries""]"
